age,sex,failures,schoolsup,famsup,Mjob,Fedu,nursery,Walc,higher,absences,address
18,F,2,no,yes,health,4,yes,2,yes,1,R
18,M,0,no,yes,other,3,no,4,yes,0,R
19,F,0,yes,no,teacher,4,yes,3,yes,0,U
16,M,0,yes,yes,health,3,no,1,yes,0,R
19,F,0,no,yes,health,3,yes,1,yes,0,U
17,M,1,no,yes,teacher,4,yes,1,yes,0,R
19,F,0,no,yes,teacher,4,yes,1,yes,0,U
18,F,0,yes,yes,at_home,3,yes,1,yes,20,U
17,F,0,no,yes,health,4,yes,1,yes,0,U
17,F,0,yes,yes,health,4,yes,3,no,0,R
19,M,0,no,yes,at_home,4,yes,1,yes,0,U
20,M,0,no,yes,health,4,yes,2,yes,0,U
15,M,0,no,yes,health,4,no,1,no,0,R
18,F,0,yes,yes,health,4,yes,4,yes,0,U
17,F,0,no,yes,other,1,yes,1,yes,0,U
18,M,0,no,yes,other,3,yes,2,no,0,U
17,M,0,no,yes,health,2,yes,1,yes,0,R
22,F,0,no,no,other,2,no,2,yes,0,U
18,M,1,no,yes,health,3,yes,2,no,0,U
20,F,0,no,no,health,4,yes,1,yes,2,U
22,M,0,no,yes,health,4,yes,3,yes,0,U
20,M,0,no,yes,teacher,3,yes,2,yes,0,U
17,F,0,yes,yes,health,3,yes,3,yes,0,R
16,M,0,no,yes,other,4,yes,4,no,0,U
17,F,0,yes,yes,at_home,4,yes,1,yes,0,U
20,F,0,no,no,health,4,yes,2,no,0,U
17,F,0,yes,yes,teacher,4,yes,1,yes,0,U
21,M,0,no,yes,at_home,4,yes,1,yes,0,R
16,F,0,no,yes,other,3,yes,1,yes,30,U
17,M,2,yes,no,health,3,no,4,no,5,U
22,F,0,yes,yes,health,4,yes,1,no,0,R
19,M,2,no,yes,health,4,yes,2,yes,75,U
17,M,1,no,no,teacher,4,no,3,yes,4,U
19,M,0,no,yes,services,3,no,1,yes,0,U
17,M,0,yes,yes,teacher,4,yes,2,yes,0,U
20,F,0,no,yes,health,4,yes,1,yes,0,U
17,M,0,yes,yes,at_home,4,yes,2,yes,5,U
20,M,0,yes,yes,other,3,yes,5,no,0,U
